ID	Language	Experience	Book
153	15	3	Responsive Web Design with HTML5 and CSS by Ben Frain 
153	15	3	CSS Secrets: Better Solutions to Everyday Problems Lea Verou
153	15	3	CSS Pocket Reference Eric Meyer
161	16	1	Introduction to Programming and Problem-Solving Using Scala by Mark C. Lewis and Lisa Lacher
161	16	1	Programming in Scala by Martin Odersky, Lex Spoon, and Bill Venners 
161	16	1	Scala for the Impatient by Cay Horstmann 
162	16	2	Scala Puzzlers by Andrew Phillips
162	16	2	Scala Cookbook by Alvin Alexander
162	16	2	Scala in Depth by Joshua D Suereth
163	16	3	Scala High Performance Programming by Vincent Theron, Michael Diamant 
163	16	3	Scala in action by Nilanjan Raychaudhuri
163	16	3	Programming Scala by Dean Wampler, Alex Payne
171	17	1	Learn HTML for Beginners: The illustrated guide to Coding Jo Foster
171	17	1	HTML5: The missing manual Matthew MacDonald
171	17	1	HTML5 in easy steps Mike McGrath
172	17	2	Ultra HTML Reference: An in-depth reference book for the HTML programming language Michael Abelar
172	17	2	Murach's HTML5 and CSS 3 Zak Ruvalcaba, Anne Boehm
172	17	2	HTML5: Up and Running Mark Pilgrim
173	17	3	HTML5 Black Book (Covers CSS3, JavaScript, XML, XHTML, AJAX, PHP, jQuery) Kogent Learning Solutions INC
173	17	3	HTML5 and CSS3 All-in-One For Dummies Andy Harris
173	17	3	Web Design with HTML, CSS, JavaScript and jQuery Set 1st Edition Jon Duckett
181	18	1	Lua for Beginners by ignatz
181	18	1	Lua Programming Language, First Edition Lua Publishing
181	18	1	Lua Quick Start Guide Gabor Szauer
182	18	2	Lua 5.3 Reference Manual  Lua Publishing
182	18	2	Lua Game Development Cookbook Mario Kasuba 
182	18	2	Programming in Lua, fourth edition Roberto Ierusalimschy
183	18	3	Learning Game AI Programming with Lua Edizione Inglese 
183	18	3	The Advanced Roblox Coding Book Heath Haskins
183	18	3	CryENGINE Game Programming with C++, C#, and Lua Edizione Inglese 
191	19	1	Beginning Haskell: A Project-Based Approach Alejandro Serrano Mena
191	19	1	Get Programming with Haskell Will Kurt
191	19	1	Haskell from the Very Beginning John Whitington
192	19	2	Haskell Data Analysis Cookbook Nishant Shukla
192	19	2	Haskell in Depth Vitaly Bragilevsky
192	19	2	Haskell: The Craft of Functional Programming Simon Thompson 
193	19	3	Algorithm Design with Haskell  Richard Bird, Jeremy Gibbons
193	19	3	Haskell Cookbook: Build Functional Applications Using Monads, Applicatives, and Functors Yogesh Sajanikar
193	19	3	Parallel and Concurrent Programming in Haskell: Techniques for Multicore and Multithreaded Programming Simon Marlow
201	20	1	The Markdown Guide by Matt Cone
201	20	1	The Beginner's Guide to Markdown and Pandoc Paperback by Thomas Mailund
201	20	1	Learn Markdown: The Complete Guide on Markdown Formatting Paperback by Khurshid Alam 
202	20	2	R Markdown Cookbook Yihui Xie
202	20	2	Introducing Markdown and Pandoc: Using Markup Language and Document Converter by Thomas Mailund 
202	20	2	Instant Markdown Arturo Herrero
203	20	3	blogdown: Creating Websites with R Markdown 1st Edition by Yihui Xie, Amber Thomas, Alison Presmanes Hill
203	20	3	R Markdown The Definitive Guide by Yihui Xie, J. J. Allaire, Garrett Grolemund
203	20	3	bookdown: Authoring Books and Technical Documents with R Markdown by Yihui Xie
211	21	1	R: Easy R Programming For Beginners- Your Step-By-Step Guide to Learning R Programming by Felix Alvaro
211	21	1	R Programming for Beginners: An Introduction to Learn R Programming with Tutorials and Hands-On Examples by Nathan Metzler
211	21	1	R for Dummies by Andrie de Vries and Joris Meys 

212	21	2	R Cookbook: Proven Recipes for Data Analysis, Statistics, and Graphics Jd Long
212	21	2	R in Action Dr. Rob Kabacoff
212	21	2	R Graphics Cookbook: Practical Recipes for Visualizing Data Winston Chang
213	21	3	Advanced R Hadley Wickham
213	21	3	R for Everyone: Advanced Analytics and Graphics Jared P. Lander
213	21	3	Hands-On Programming with R Garrett Grolemund
